title,year,director,music_director,votes
"Darling","2010","A. Karunakaran","G. V. Prakash Kumar","37"
"Court: State vs. A Nobody","2025","Ram Jagadeesh","Vijai Bulganin","36"
"Taxiwala","2018","Rahul Sankrityan","Jakes Bejoy","36"
"Liger","2022","Puri Jagannadh","Vikram Montrose","36"
"Arundhati","2009","Kodi Ramakrishna","Saluri Koteswara Rao","35"
"Kshanam","2016","Ravikanth Perepu","Sricharan Pakala","35"
"Badrinath","2011","V. V. Vinayak","M.M. Keeravaani","35"
"Chatrapathi","2005","S. S. Rajamouli","M.M. Keeravaani","35"
"Guntur Kaaram","2024","Trivikram Srinivas","S. Thaman","35"
"Iddarammayilatho","2013","Puri Jagannadh","Devi Sri Prasad","34"
"Kingdom","2025","Gowtam Tinnanuri","Anirudh Ravichander","33"
"Parugu","2008","Bhaskar","Mani Sharma","33"
"Oh! Baby","2019","B. V. Nandini Reddy","Mickey J Meyer","33"
"Nuvvostanante Nenoddantana","2005","Prabhu Deva","Devi Sri Prasad","33"
"Yamadonga","2007","S. S. Rajamouli","M.M. Keeravaani","33"
"Waltair Veerayya","2023","Bobby Kolli","Devi Sri Prasad","33"
"A Aa","2016","Trivikram Srinivas","Mickey J Meyer","32"
"Hello!","2017","Vikram Kumar","Anup Rubens","32"
"Brochevarevarura","2019","Vivek Athreya","Vivek Sagar","32"
"Oosaravelli","2011","Surender Reddy","Devi Sri Prasad","32"
"Miss. Shetty Mr. Polishetty","2023","Mahesh Babu P","Gopi Sundar","31"
"Gabbar Singh","2012","Harish Shankar","Devi Sri Prasad","31"
"Leader","2010","Sekhar Kammula","Mickey J Meyer","31"
"Ala Modalaindi","2011","B. V. Nandini Reddy","Kalyani Malik","31"
"Game Changer","2025","Shankar","S. Thaman","31"
"Dasara","2023","Srikanth Odela","Santhosh Narayanan","31"
"Raja the Great","2017","Anil Ravipudi","Sai Karthik","30"
"Vinaya Vidheya Rama","2019","Boyapati Srinu","Devi Sri Prasad","30"
"Once Upon a Warrior","2011","Prakash Kovelamudi","Saluri Koteswara Rao","30"
"Krack","2021","Gopichand Malineni","S. Thaman","30"
"Karthikeya 2","2022","Chandoo Mondeti","Kaala Bhairava","30"
"MAD","2023","Kalyan Shankar","Bheems Ceciroleo","29"
"Naayak","2013","V. V. Vinayak","S. Thaman","29"
"Mathu Vadalara","2019","Ritesh Rana","Kaala Bhairava","29"
"Akhanda","2021","Boyapati Srinu","S. Thaman","29"
"Jathi Ratnalu","2021","Anudeep","Radhan","29"
"Pilla Zamindar","2011","Ashok G.","V. Selvaganesh","29"
"Desamuduru","2007","Puri Jagannadh","Chakri","28"
"RX 100","2018","Ajay Bhupathi","Chaitan Bharadwaj","28"
"Sarkaru Vaari Paata","2022","Parasuram Petla","S. Thaman","28"
"Kuberaa","2025","Sekhar Kammula","Devi Sri Prasad","27"
"Baadshah","2013","Sreenu Vaitla","S. Thaman","27"
"Drushyam","2014","Sripriya","Sharreth","27"
"Govindudu Andarivaadele","2014","Krishna Vamsi","Yuvan Shankar Raja","27"
"Karthikeya","2014","Chandoo Mondeti","Shekar Chandra","27"
"Ninnu Kori","2017","Shiva Nirvana","Gopi Sundar","27"
"Ee Nagaraniki Emaindi?","2018","Tharun Bhascker","Vivek Sagar","27"
"Rachcha","2012","Sampath Nandi","Mani Sharma","26"
"Billa","2009","Meher Ramesh","Mani Sharma","26"
"Adhurs","2010","V. V. Vinayak","Devi Sri Prasad","26"
"Nenu Local","2017","Trinadha Rao Nakkina","Devi Sri Prasad","26"
"Maryada Ramanna","2010","S. S. Rajamouli","M.M. Keeravaani","26"
"Ye Maaya Chesave","2010","Gautham Vasudev Menon","A.R. Rahman","26"
"Rang De","2021","Venky Atluri","Devi Sri Prasad","26"
"Chirutha","2007","Puri Jagannadh","Mani Sharma","26"
"Munna","2007","Vamshi Paidipally","Harris Jayaraj","25"
"Aagadu","2014","Sreenu Vaitla","S. Thaman","25"
"Don","2007","Raghava Lawrence","Raghava Lawrence","25"
"Acharya","2022","Koratala Siva","Mani Sharma","25"
"Jalsa","2008","Trivikram Srinivas","Devi Sri Prasad","25"
"Gamyam","2008","Krish Jagarlamudi","E.S. Murthy","25"
"Yashoda","2022","Hareesh Narayan","Mani Sharma","25"
"Ishq","2012","Vikram Kumar","Shankar","25"
"Kushi","2023","Shiva Nirvana","Hesham Abdul Wahab","25"
"Bhale Bhale Magadivoy","2015","Maruthi Dasari","Gopi Sundar","24"
"Nenu.. Sailaja...","2016","Kishore Tirumala","Devi Sri Prasad","24"
"Khaidi No. 150","2017","V. V. Vinayak","Devi Sri Prasad","24"
"Nene Raju Nene Mantri","2017","Teja","Anup Rubens","24"
"Agnyaathavaasi","2018","Trivikram Srinivas","Anirudh Ravichander","24"
"Tholi Prema","2018","Venky Atluri","S. Thaman","24"
"Padi Padi Leche Manasu","2018","Hanu Raghavapudi","Vishal Chandrasekhar","24"
"World Famous Lover","2020","Kranthi Madhav","Gopi Sundar","24"
"Colour Photo","2020","Sandeep Raj","Kaala Bhairava","24"
"King","2008","Sreenu Vaitla","Devi Sri Prasad","24"
"Veera Simha Reddy","2023","Gopichand Malineni","S. Thaman","24"
"Bujjigaadu: Made in Chennai","2008","Puri Jagannadh","Sandeep Chowta","23"
"Mirai","2025","Karthik Ghattamaneni","Hari Gowra","23"
"Gopala Gopala","2015","Kishore Kumar","Anup Rubens","23"
"Power","2014","Bobby Kolli","S. Thaman","23"
"Rabhasa","2014","Santosh Srinivas","S. Thaman","23"
"M.C.A","2017","Venu Sriram","Devi Sri Prasad","23"
"Chalo","2018","Venky Kudumula","Mahati Swara Sagar","23"
"Hello Guru Prema Kosame","2018","Trinadha Rao Nakkina","Devi Sri Prasad","23"
"Chitralahari","2019","Kishore Tirumala","Devi Sri Prasad","23"
"iSmart Shankar","2019","Puri Jagannadh","Mani Sharma","23"
"Nishabdham","2020","Hemant Madhukar","Gopi Sundar","23"
"Wild Dog","2021","Ahishor Solomon","S. Thaman","23"
"Panjaa","2011","Vishnu Varadhan","Yuvan Shankar Raja","23"
"Aadavari Matalaku Ardhalu Verule","2007","Selvaraghavan","Yuvan Shankar Raja","23"
"Bunny","2005","V. V. Vinayak","Devi Sri Prasad","23"
"Balupu","2013","Gopichand Malineni","S. Thaman","22"
"Yavade Subramanyam","2015","Nag Ashwin","Radhan","22"
"Kanche","2015","Krish Jagarlamudi","Chirantan Bhatt","22"
"Krishna Gaadi Veera Prema Gaadha","2016","Hanu Raghavapudi","Vishal Chandrasekhar","22"
"Ekkadiki Pothavu Chinnavada","2016","Vi Anand","Shekar Chandra","22"
"Sammohanam","2018","Mohana Krishna Indraganti","Vivek Sagar","22"
"Love Story","2021","Sekhar Kammula","Pawan Ch","22"
"Bheemla Nayak","2022","Sagar Chandra","S. Thaman","22"
"Dhammu","2012","Boyapati Srinu","M.M. Keeravaani","21"
"Sahasam","2013","Chandra Sekhar Yeleti","Sri Kommineni","21"
"Oohalu Gusagusalade","2014","Srinivas Avasarala","Kalyani Malik","21"
"Soggade Chinni Nayana","2016","Kalyan Krishna","Anup Rubens","21"
"Jaya Janaki Nayaka","2017","Boyapati Srinu","Devi Sri Prasad","21"
"Don Seenu","2010","Gopichand Malineni","Mani Sharma","21"
"Mr. Majnu","2019","Venky Atluri","S. Thaman","21"
"Middle Class Melodies","2020","Vinod Anantoju","Vikram RH","21"
"Oh My Friend","2011","Venu Sriram","Rahul Raj","21"
"Dhamaka","2022","Trinadha Rao Nakkina","Bheems Ceciroleo","21"
"Daaku Maharaaj","2025","Bobby Kolli","S. Thaman","20"
"Ramayya Vasthavayya","2013","Harish Shankar","S. Thaman","20"
"Gentleman","2016","Mohana Krishna Indraganti","Mani Sharma","20"
"Premam","2016","Chandoo Mondeti","Rajesh Murugesan","20"
"Savyasachi","2018","Chandoo Mondeti","M.M. Keeravaani","20"
"Devadas","2018","Sriram Adittya","Mani Sharma","20"
"Uppena","2021","Buchi Babu Sana","Devi Sri Prasad","20"
"Vakeel Saab","2021","Venu Sriram","S. Thaman","20"
"Ready","2008","Sreenu Vaitla","Devi Sri Prasad","20"
"Miss India","2020","Narendra nath","S. Thaman","20"
"F3: Fun and Frustration","2022","Anil Ravipudi","Devi Sri Prasad","20"
"Ranga Ranga Vaibhavanga","2022","Gireeshaaya","Devi Sri Prasad","20"
"The Family Star","2024","Parasuram Petla","Gopi Sundar","19"
"The Girlfriend","2025","Rahul Ravindran","Prashanth R Vihari","19"
"Pournami","2006","Prabhu Deva","Devi Sri Prasad","19"
"Stalin","2006","A. R. Murugadoss","Mani Sharma","19"
"Brahmotsavam","2016","Srikanth Addala","Mickey J Meyer","19"
"Sardaar Gabbar Singh","2016","Bobby Kolli","Devi Sri Prasad","19"
"Hyper","2016","Santosh Srinivas","Ghibran","19"
"Goutham Nanda","2017","Sampath Nandi","S. Thaman","19"
"Krishnarjuna Yudham","2018","Merlapaka Gandhi","HipHop Tamizha Adhi","19"
